Date,Open,High,Low,Close,Adj Close,Volume
1996-11-08,18.209999,18.209999,18.171000,18.171000,9.137737,767000
1996-11-11,18.190001,18.200001,18.082001,18.122000,9.113095,260000
1996-11-12,18.160999,18.327999,18.091999,18.259001,9.181991,1066000
1996-11-13,18.344000,18.344000,18.190001,18.230000,9.167404,793000
1996-11-14,18.205000,18.289000,18.132000,18.289000,9.197076,351000
1996-11-15,18.308001,18.440001,18.268999,18.438000,9.272003,624000
1996-11-18,18.372999,18.584000,18.365999,18.466000,9.286082,624000
1996-11-19,18.485001,18.544001,18.313999,18.544001,9.325309,442000
1996-11-20,18.485001,18.603001,18.243000,18.250999,9.177965,546000
1996-11-21,18.308001,18.308001,18.194000,18.268999,9.187016,286000
1996-11-22,18.230000,18.413000,18.184000,18.413000,9.259431,312000
1996-11-25,18.504999,18.987000,18.504999,18.987000,9.548079,1040000
1996-11-26,19.075001,19.572001,19.075001,19.292999,9.701961,2015000
1996-11-27,19.232000,19.252001,19.105000,19.124001,9.616976,455000
1996-11-28,19.155001,19.714001,19.153999,19.667000,9.890038,923000
1996-11-29,19.724001,19.724001,19.566999,19.691999,9.902609,624000
1996-12-02,19.684999,20.058001,19.606001,19.992001,10.053472,702000
1996-12-03,20.235001,21.160000,20.235001,21.158001,10.639824,1781000
1996-12-04,20.844999,21.129999,20.570000,21.028000,10.574447,1118000
1996-12-05,20.962999,21.415001,20.639000,20.648001,10.383357,1417000
1996-12-06,20.157000,20.629000,19.389999,20.275000,10.195783,1495000
1996-12-09,20.452000,20.948000,20.452000,20.924000,10.522148,494000
1996-12-10,21.069000,21.228001,21.040001,21.061001,10.591045,442000
1996-12-11,20.825001,20.924000,20.393000,20.458000,10.287810,611000
1996-12-12,20.648001,20.648001,20.245001,20.294001,10.205340,403000
1996-12-13,20.039000,20.063999,19.724001,19.959999,10.037378,663000
1996-12-16,19.802999,20.253000,19.802999,20.235001,10.175667,286000
1996-12-17,20.000000,20.055000,19.940001,20.038000,10.076606,481000
1996-12-18,20.136999,20.157000,19.990000,20.077999,10.096719,312000
1996-12-19,20.007999,20.157000,19.900999,20.153000,10.134434,455000
1996-12-20,20.254999,20.806000,20.254999,20.552000,10.335079,845000
1996-12-23,20.648001,20.747000,20.648001,20.725000,10.422078,104000
1996-12-24,null,null,null,null,null,null
1996-12-25,null,null,null,null,null,null
1996-12-26,null,null,null,null,null,null
1996-12-27,20.844999,20.884001,20.691999,20.750999,10.435152,195000
1996-12-30,20.924000,21.115999,20.924000,21.042000,10.581491,182000
1996-12-31,null,null,null,null,null,null
1997-01-01,null,null,null,null,null,null
1997-01-02,20.667999,20.923000,20.530001,20.688000,10.403470,429000
1997-01-03,20.844999,20.844999,20.608999,20.766001,10.442698,572000
1997-01-06,20.943001,21.042000,20.412001,20.709999,10.414535,598000
1997-01-07,20.559999,20.621000,20.490999,20.570000,10.344133,624000
1997-01-08,20.648001,20.943001,20.549999,20.865000,10.492479,1170000
1997-01-09,20.806000,20.962999,20.667999,20.962999,10.541762,884000
1997-01-10,21.139999,21.356001,20.759001,20.884001,10.502033,1586000
1997-01-13,21.139999,21.306999,21.111000,21.218000,10.669997,650000
1997-01-14,21.278000,21.927000,21.134001,21.927000,11.026533,1040000
1997-01-15,22.113001,22.122999,21.434999,21.514000,10.818847,754000
1997-01-16,21.434999,21.507000,21.238001,21.266001,10.694135,351000
1997-01-17,21.356001,21.927000,21.346001,21.612000,10.868129,1313000
1997-01-20,21.691000,21.848000,21.396000,21.396000,10.759507,897000
1997-01-21,null,null,null,null,null,null
1997-01-22,21.356001,21.533001,20.952999,21.120001,10.620713,429000
1997-01-23,21.238001,21.238001,20.903999,21.076000,10.598587,338000
1997-01-24,20.943001,20.943001,20.058001,20.355000,10.236014,806000
1997-01-27,20.334000,20.372999,20.065001,20.264999,10.190755,598000
1997-01-28,20.294001,20.618999,20.146999,20.452999,10.285296,1001000
1997-01-29,20.275000,20.422001,20.136999,20.422001,10.269708,832000
1997-01-30,20.589001,20.983000,20.530001,20.737000,10.428111,1417000
1997-01-31,20.688000,20.784000,20.549999,20.629000,10.373800,598000
1997-02-03,20.589001,20.589001,20.275000,20.450001,10.283787,780000
1997-02-04,20.549999,20.726999,20.524000,20.648001,10.383357,936000
1997-02-05,20.723000,21.274000,20.723000,21.179001,10.650384,1313000
1997-02-06,null,null,null,null,null,null
1997-02-07,21.101000,21.278000,21.101000,21.278000,10.700169,312000
1997-02-10,21.160000,21.632000,21.042000,21.533001,10.828399,780000
1997-02-11,21.827999,22.172001,21.827999,22.143000,11.135156,871000
1997-02-12,null,null,null,null,null,null
1997-02-13,23.107000,23.598000,23.007999,23.569000,11.852253,1443000
1997-02-14,23.893000,23.972000,23.264000,23.362000,11.748154,1781000
1997-02-17,23.205000,23.598000,22.910000,23.479000,11.806997,676000
1997-02-18,23.754999,23.754999,22.973000,23.006001,11.569136,1053000
1997-02-19,null,null,null,null,null,null
1997-02-20,22.712999,22.809999,22.420000,22.580999,11.355412,819000
1997-02-21,22.417999,22.476999,22.231001,22.417999,11.273444,728000
